Timestamp,school_loc,hobbies,pets,place,liv_fl,hometown,food,animal,season,sport,funfact,funfact_cond,funfact_cat,place_cat
7/7/2023 10:08,"Fitchburg, MA; Miami, FL","paddleboarding, crossfit, my dog, hiking trips, happy hours",Dog,The Cleat,5-10 Years,"Upton, MA",Corn,horse,Fall,Volleyball,I'm currently teaching myself how to play the ukulele,Learning the ukulele,Interest/Activities,Food/Drink
7/7/2023 10:21,"Miami, FL","Cars, plants, building things","Dog, Fish, Bird",House,15+ Years,"Lexington, MA",Shawarma,Koi,Spring,Soccer,I've been struck by lightning,Been struck by lightning,Injury,Place
7/7/2023 11:40,"Honolulu, Hawaii","scuba, Golfing, Volleyball, Running, Swimming",Dog,Downtown Brickell,1-5 Years,"Glendale, CA",West African,Sea Turtles,Summer,Volleyball,I can play at least 5 instruments,Play 5+ instruments,Skill,Area
7/7/2023 15:46,"Syracuse, NY; Grand Forks, ND","Swimming, Running, Cycling, Mountain Biking, scuba, Backpacking, Skiing, Hiking, Reading",Dog,South Pointe Park,1-5 Years,"Margate City, NJ",Ice Cream,Red Panda,Winter,Football,I have been to six of the seven continents and will be going to my seventh this summer.,Been to 6/7 continents (7th soon),Interest/Activities,Beach/Park
7/7/2023 15:49,"Stony Brook, NY","Swimming, Museums, Movies",No pets,Rickenbacker Bridge,1-5 Years,"Holbrook, NY",Mac & Cheese,Orca,Summer,Football,I've been inside the Great Pyramid of Giza,Been inside the Great Pyramid of Giza,Interest/Activities,Beach/Park
7/7/2023 16:09,"Northampton, MA","beach, Netflix, traveling, new foods","Dog, Cat",,Never,"Austin, TX","sushi, French fries, ramen",jellyfish,Summer,Gymnastics,,,,
7/7/2023 16:31,"Port-of-Spain, NY",,No pets,,1-5 Years,,Spicy food,,Fall,,Invited to see a space shuttle launch,Invited to a space shuttle launch,Interest/Activities,
7/8/2023 0:26,"Tampa, Florida; Miami, Florida","Music, camping, videography, creative writing, reading, animals, pow wows, fairs/festivals",Cat,Miami Metrozoo,15+ Years,"Safety Harbor, FL","Spaghetti, pumpkin frybread",Thylacine,Winter,Karate,"I used to be a pow wow singer when younger. I also used to be a practitioner of Uechi Ryu Karate when younger (and more flexible). I may only have minimal musical talent myself, but I have great appreciation for musical talent in others.",Pow wow singer when younger & Karate practitioner,Previous Job/Experience,Place
7/10/2023 10:04,"Caracas, Venezuela; St Petersburg, FL; New Bedford, MA","Baking, gardening",Bird,Harry's Pizza,15+ Years,"Caracas, Venezuela",Lebanese,Cats,Fall,"road biking, soccer, surfing, tennis","Amy Winehouse, Ivan Pavlov and I share the same birthday, which is when the Star-Spangled Banner was written.","Shares birthday with Star-Spangled Banner, Amy Winehouse, & Ivan Pavlov",Miscellaneous,Food/Drink
7/10/2023 10:17,"Miami, FL; Gloucester Point, VA; Columbia, SC","kayaking, scuba, hiking, biking, drawing, writing",Dog,Fruit and Spice Park,10-15 Years,"Kansas City, MO",Coconut,octopus,Spring,biking,I used to be a grease monkey rebuilding car engines,Used to rebuild car engines,Previous Job/Experience,Beach/Park
